"patch","catch","Ar","allonnet","ann_tmax_c","AreaSqKM","aug_prcp_mm","impervious","surfcoarse","patch.AreaSqKM","patch.complexity","patch.habitat"
36,201486062,5.16100269517331,-0.216541149598915,-1.43155294348351,0.206250452315397,0.902913866437435,-0.541130314436328,-1.26829831475299,0.259159165906645,0.434356423495647,4.69936725151051
42,201485990,5.60134022829873,1.3374820703039,0.111487476412265,2.94578085657303,-1.03410888033882,-0.490564188794993,0.349366252465556,-0.0314613020763989,0.423827236682271,4.13990807221038
61,201486594,4.7556554483524,-0.391237105238492,-1.32697990509433,0.154189425177694,-0.00529166795701706,0.470087218693196,-1.26829831475299,-0.352549481350012,0.10566267862589,3.59632822702295
67,201486633,3.90838339529911,0.685102431590204,-1.46656297067774,0.0185236184942881,0.799282794972501,-0.936023180269852,-1.26829831475299,-0.470286453325427,-1.02874275283269,3.89929841714906
82,201487094,4.66730185169631,0.365484017818885,-0.441226974552212,1.01752810520582,-1.80855014541314,-0.504813808175673,-1.26829831475299,-0.180223633013045,-0.746285871795585,4.46297018027549
90,201487192,4.9339144563013,-0.171038019505389,-0.891018854568186,-0.452584266736285,1.12789949362368,-0.845591637124006,-1.26829831475299,-0.808349393580609,-1.57397151347319,2.99661832639321
102,201487175,4.25489230617642,-0.0223021584820208,-0.461323680393956,-1.361833460585,-2.22941831825656,-1.00233863203477,-1.26829831475299,0.480374238066986,0.153730705382609,5.28067888359843
102,201487249,4.38344321249957,0.481356357330679,-0.385171524882287,-0.314920300827529,-2.17937769231346,-0.774022308275764,-0.852193446698142,0.480374238066986,0.153730705382609,5.28067888359843
106,201487873,4.85992791262996,-0.331284743953482,-1.24033784836253,1.7546238007839,0.358322820451719,-0.916573640503994,-0.684079656870654,2.0021166508974,-0.177251993142231,7.99124202517161
111,201486856,4.94459661414606,-0.703351846523733,-1.06504031298876,-0.0700070382135446,-0.227002383816351,-0.940736157748887,-0.611855249870303,1.63523164981227,0.577187131572757,7.40878215807616
111,201487443,5.19111803054371,1.0065663431041,-0.567680858228604,1.17241892119563,-1.56809735413264,-0.963802425198273,0.37365941253891,1.63523164981227,0.577187131572757,7.40878215807616
120,201488169,5.26676869686353,-2.34351020967917,-0.343718507143031,-0.854601940319533,0.69138296547116,-0.92386638076486,-0.872573232909035,1.43608525692557,0.8243941263216,7.17243536507126
126,201487572,3.94830029239903,0.642950900792776,-1.12360094652974,0.70614501592779,0.0381571257641763,0.104105230719111,-1.26829831475299,1.45598777813722,-0.259654324725178,7.24555131373868
126,201488230,4.22705948103026,1.50486140855007,0.0778377166353432,-0.481287828257628,-1.87896309137073,0.108119327130809,0.0308964137632429,1.45598777813722,-0.259654324725178,7.24555131373868
126,201487888,4.83670838335101,0.282377940789706,-0.874853125946343,1.31572004458962,-0.339956080663033,-0.0112980135978894,-1.26829831475299,1.45598777813722,-0.259654324725178,7.24555131373868
129,201487479,4.97984168474553,0.0981261845323616,-0.583528694138677,-0.602914142702452,0.792515613531881,-0.460078021440114,-1.26829831475299,0.191131867533146,0.164259892195986,4.77729449443552
142,201487786,4.26866836692862,-0.472812930843141,0.72487907287746,-1.52791096032432,-1.36810439435295,0.0667815935107805,-1.26829831475299,1.80426967977125,0.546057361863643,7.68224618463608
147,201487652,4.84991070297758,0.314087660657126,-0.827303940903563,-0.255707521959016,1.18183022621736,0.889660273515742,-1.26829831475299,-1.06845728619824,0.407346770365681,2.06157321471798
149,201487747,4.8658213445475,-0.487559838096371,-0.309924529980205,0.00386648407547721,-0.683918003801852,-0.393556049367522,0.488958960141979,-0.119625692356352,-0.294904211013439,4.09360873369647
162,201487730,4.3251616109812,-0.271236280284426,-0.586747489503471,-1.35931838933012,1.21310965071738,-0.872951749222732,-1.26829831475299,-0.324356245237148,1.81505326824104,3.3370917901482
162,201487754,4.15496460278377,-0.0290014098933095,-0.418401957122957,0.221884748417146,1.13920853961692,-0.542236412716916,-1.26829831475299,-0.324356245237148,1.81505326824104,3.3370917901482
169,201488193,4.89060802716457,-0.739351565791149,0.88702516899667,-0.390472318619028,-0.592426639801006,0.00938595613432965,1.07369987615027,1.08774434388411,0.416502584986009,7.03862900430329
169,201488301,5.45217682396902,-2.37885563258169,0.614359600537043,-1.11246158116253,-0.587329832669103,-0.414337203765425,0.764901086146178,1.08774434388411,0.416502584986009,7.03862900430329
174,201488100,5.0169253932272,-1.60739734171845,-0.559553701829114,-0.956900842821194,-0.169078140852477,-1.07180597368062,-0.0648042518466328,0.316492103992992,0.644024578301147,4.8769159279963
179,201487844,4.16326400538321,0.611292686565327,-0.729030141697532,-0.682070439151154,1.21995944076881,0.623975656014921,0.518441045441973,-0.314419151255303,-0.464744572220514,3.36473411504306
185,201488054,5.43125330102514,-0.385767430323414,-0.485707625436757,1.11834936824709,-0.801650247193065,-0.593693416513965,0.689724382709265,0.145483047333748,0.825767498514649,4.63483962240071
185,201488089,4.69801502770245,0.0779293421003501,-0.859714738688693,0.171673218166607,-0.788921429377457,-0.93201317718401,0.101092718229963,0.145483047333748,0.825767498514649,4.63483962240071
185,201488090,4.39480116106852,-0.11304698510935,-0.642310652173659,0.777429691109488,-0.810854302373972,-0.786266150153137,0.551612148645418,0.145483047333748,0.825767498514649,4.63483962240071
212,201488481,4.5640050369401,1.45683884270427,-1.50864464381918,1.00026011909063,-1.01181773046023,-0.960302807221831,-1.26829831475299,-0.673505640251611,0.998354604107822,2.86314761663376
215,201488733,4.89902693265282,0.692923471896735,-0.0958377081767703,0.0580354476680932,-0.570284987148779,-0.216247095098969,0.574352907319031,1.29141792046745,0.889400410125925,6.70801055937885
220,201488456,4.58241705703345,-1.6994107573241,-0.24765070713364,-0.727727951246282,0.494072917571405,0.296890817103504,-0.220729386752214,-1.00579011977971,-1.57397151347319,2.24753117315235
222,201489107,3.74170641212718,0.0800946946121503,-0.740015927414583,-0.66714251683959,-0.187399169618191,-1.02503112039297,-1.26829831475299,0.801993758127206,-0.00237593389397495,5.8585327756252
225,201488541,3.74678013147558,-1.28844217294697,-1.22054187107483,-1.06635637584124,-0.820111417798382,0.461093194884135,0.404640252190447,-1.2487869459026,-1.57397151347319,1.63241824625299
226,201488606,4.39474399808556,-1.27588818945152,-0.943994776084929,-1.75848254727144,-0.67574059154734,0.0075639213427243,-1.26829831475299,-0.291738919202324,0.738329468890521,3.74050279642595
239,201488621,4.17594918493528,0.801942845472557,-1.01129647676642,-0.761322633344043,-1.59707343340541,-0.625426876343256,-0.268141916441997,-1.36628973208772,0.54514178040161,1.68929135173597
245,201489199,3.90501922650548,0.958155955791759,0.320503260276109,0.846100092045284,-1.26801570854604,-0.896839291304511,0.524264759015354,-0.0959088473984493,0.389035141125026,4.09422875662748
247,201488686,4.58382798389066,-1.56367344156379,-0.648140868493416,-0.872543894151995,0.645090993766161,0.834853158255543,-1.26829831475299,-1.10970878679703,-1.57397151347319,2.05126033165975
252,201489019,3.74694520920979,0.238534229549905,-0.908805082254244,-1.83150773805325,-0.227904568164874,-0.232565652481022,-1.26829831475299,-0.0984836703347144,0.682478999706523,3.95507004712671
281,201489376,5.12096328523337,0.778144952284513,-2.35670490526126,0.128757856998471,1.54340580655225,-0.580426900238158,-0.772485550039821,1.23731967813061,0.809287032198059,6.76038420726946
283,201489120,3.21738701632895,0.628776515746349,-0.570063625743923,0.0633101394012164,0.343342105813096,0.817676668484494,0.135894555334729,-0.64554065780951,0.532323639933152,3.08151525796162
291,201489576,5.36433385822412,-0.266530425045181,-0.784357979657799,0.522667513198254,-0.153627773121847,-0.369115548888112,0.345190406831106,1.2912621114638,0.297934785652767,6.82825442759102
291,201490349,5.63055866580896,-1.42933081971665,-0.0239036217114338,-0.496273750782406,0.0924635249744758,-0.811488447467196,-1.26829831475299,1.2912621114638,0.297934785652767,6.82825442759102
303,201489662,5.94841107357876,-0.732141122078674,-1.56565980804646,0.280615609888492,0.865820660837157,-0.209677504870896,-0.113933431150514,1.14128512061987,0.0310427894702206,6.55648757015662
304,201489853,5.06037280906084,0.672757284102524,-0.341515589025075,1.5003743546764,-0.607019299135397,-0.552163373515942,0.609088922574566,-0.208176626699342,-0.226235601360983,3.95504991523911
